"Pxn","X (m)","Y (m)","Z (m)"
-0.251018285687546,-2.29118532094252,0.853305654073901,0.72325625
-0.232235445411302,-2.29899745740941,0.853204624360139,0.72325625
-0.249290606511943,-2.30680706337487,0.853104220449397,0.72325625
-0.276080530964007,-2.31461490679556,0.852989524380239,0.72325625
-0.31283417497064,-2.33805937030339,0.852636109913775,0.72325625
-0.300383410239573,-2.32242253428666,0.852866219089174,0.72325625
-0.308261457428134,-2.3302400100889,0.852751758085728,0.72325625
-0.312263905251961,-2.34586881279163,0.85250780410682,0.72325625
-0.32606625528573,-2.35367750779258,0.852379668848098,0.72325625
-0.3431785023706,-2.36148709239338,0.852248062352222,0.72325625
-0.353581625567082,-2.3692953294408,0.8521107638465,0.72325625
-0.350703656748892,-2.3769665681342,0.85197602829407,0.72325625
-0.357255264663006,-2.38087158542229,0.85190760140597,0.72325625
-0.349186087089983,-2.38491293135368,0.85184182934345,0.72325625
-0.360180623364891,-2.39271973886414,0.851705990335652,0.72325625
-0.375117544733013,-2.40052607708703,0.851567605685815,0.72325625
-0.384234403654676,-2.40833319026155,0.851437308411072,0.72325625
-0.404326017828063,-2.41614088354839,0.851300495937368,0.72325625
-0.3902568681649,-2.42394827600357,0.851155326309119,0.72325625
-0.430597987766346,-2.43175535442979,0.851008941223834,0.72325625
-0.429724264032683,-2.43956308383741,0.850865262320826,0.72325625
-0.533491429197769,-2.44736967237931,0.850703346137625,0.72325625
-0.446926829791501,-2.45518104457281,0.850553127595254,0.72325625
-0.439045000368432,-2.46299330345294,0.850432621450371,0.72325625
-0.508555216779476,-2.47079921915996,0.850297609929848,0.72325625
-0.596691520471344,-2.48640920635686,0.849997449040723,0.72325625
-0.522957653456672,-2.47860503126873,0.850155255945557,0.72325625
-0.584200380301002,-2.50985282441067,0.849525834838875,0.72325625
-0.547189852630006,-2.50203038385273,0.849670293164838,0.72325625
-0.611623067780103,-2.49421770263745,0.849825135369987,0.72325625
-0.631058832986638,-2.51767496824435,0.849374358874779,0.72325625
-0.703887539874568,-2.53329070191958,0.8490558841979,0.72325625
-0.668671972209947,-2.52548406180316,0.849217085129343,0.72325625
-0.775895042865093,-2.54889777210913,0.848726848845097,0.72325625
-0.735599005300453,-2.54109436614987,0.84889152192558,0.72325625
-0.858300528035158,-2.56451028667337,0.848359758331002,0.72325625
-0.86902903015651,-2.55670272127308,0.848551630724784,0.72325625
-0.854208634768814,-2.58012777690364,0.84804790671923,0.72325625
-0.746027235341342,-2.57231981028768,0.848194453127396,0.72325625
-0.914203386053337,-2.59575933353919,0.847718116905507,0.72325625
-0.819441916372529,-2.58794026267482,0.847885616340267,0.72325625
-1.0158283568267,-2.61139671316329,0.847368829250363,0.72325625
-0.965645292759584,-2.60358010599396,0.847545178279278,0.72325625
-1.2284212951438,-2.62700928780466,0.84698677041638,0.72325625
-1.0416309107731,-2.61920533133195,0.847188737843013,0.72325625
-1.1158597998334,-2.64261254032349,0.846655981606463,0.72325625
-0.853769402566747,-2.63481183296515,0.84681176309704,0.72325625
-1.57694547833128,-2.69727308320327,0.845315254110439,0.72325625
-1.18360682230674,-2.66603965855192,0.846090926177746,0.72325625
-1.01523825572432,-2.67385181524244,0.845907639006447,0.72325625
-1.12162752640864,-2.6504158517529,0.846472278694321,0.72325625
-1.28583011188531,-2.65822595196742,0.846282761177533,0.72325625
-1.39427981049241,-2.70508129706401,0.845095177659818,0.72325625
-1.24719001932195,-2.68946630762544,0.845527170558244,0.72325625
-1.25749575583093,-2.68165878974056,0.845721613287047,0.72325625
-1.23929322978164,-2.71290208791973,0.844894835063158,0.72325625
-0.882029527212322,-2.72072697943499,0.844722193621105,0.72325625
-1.3007300710923,-2.72853895722299,0.844545883640849,0.72325625
-1.21102858781816,-2.7396317265628,0.844265545923703,0.72325625
-1.29116498510581,-2.7357267090738,0.844363406891675,0.72325625
-1.51969717773415,-2.74415103583048,0.844140737366943,0.72325625
-1.32800574635427,-2.75194960851231,0.843920707882612,0.72325625
-1.32837546283629,-2.75975302829819,0.843713801763824,0.72325625
-1.39649535806453,-2.76756476715159,0.843509684015854,0.72325625
