X (m),Y (m),Z (m),DX
-0.002303529,0.034978016,0.418836847,-2.11E-05
-0.00231015,0.104911302,0.174830544,3.42E-05
-0.002312256,0.088086787,0.170256472,8.34E-05
-0.002314415,0.041450713,0.417669246,-3.93E-05
-0.002326838,0.020000762,0.380997236,4.76E-05
-0.002342882,0.057052611,0.184024585,5.82E-05
-0.002383667,0.034002404,0.38073311,4.24E-05
-0.002388825,0.027125665,0.38087222,3.80E-05
-0.002396542,0.081549264,0.403834476,-9.66E-06
-0.002399313,0.041492685,0.16398535,9.70E-05
-0.002410771,0.066027705,0.411394038,-1.51E-05
-0.002451695,0.049209763,0.417627032,-3.81E-05
-0.002460167,0.04151641,0.380790813,4.37E-05
-0.002461412,0.095122785,0.384725436,1.91E-05
-0.002483426,0.095800921,0.395559835,-5.16E-06
-0.002500745,0.0032543,0.424566271,-3.73E-05
-0.002506717,0.072504603,0.410073871,-2.77E-05
-0.002519502,0.049254922,0.164040651,9.74E-05
-0.002526821,0.111428278,0.175554124,6.91E-05
-0.002549159,0.010390443,0.424734675,-4.71E-05
-0.002554173,0.088033098,0.402625767,-1.65E-05
-0.002570715,0.103442754,0.389677597,8.42E-06
-0.002605074,0.095830973,0.170275302,8.30E-05
-0.002610533,0.018153045,0.424877461,-4.74E-05
-0.002618829,0.111495032,0.180163507,6.51E-05
-0.002621476,0.056969844,0.417579741,-3.69E-05
-0.002684237,0.049202801,0.380903256,4.65E-05
-0.002684704,0.057005965,0.163987714,9.60E-05
-0.002694171,0.025919063,0.424929244,-4.78E-05
-0.002705351,0.064877858,0.184299322,5.64E-05
-0.002733462,0.102953778,0.384742639,2.27E-05
-0.002753312,0.080276895,0.410094157,-2.65E-05
-0.002800196,0.033690693,0.424973823,-4.68E-05
-0.002801599,0.003138236,0.380476406,3.33E-05
-0.002809883,0.103578303,0.395703935,-5.93E-06
-0.002824096,0.06474458,0.417601795,-3.56E-05
-0.00285089,0.095803649,0.402631505,-1.56E-05
-0.002870649,0.119207893,0.175520624,6.88E-05
-0.002879495,0.064757189,0.163938663,9.52E-05
-0.002910556,0.041459167,0.424928593,-4.46E-05
-0.002911222,0.111328584,0.389735425,8.93E-06
-0.002925265,0.103586624,0.170271484,8.35E-05
-0.002940929,0.057034924,0.381029134,4.86E-05
-0.002999851,0.119289002,0.180208036,6.24E-05
-0.003022648,0.088048857,0.410111919,-2.51E-05
-0.003038491,0.049224636,0.424822192,-4.29E-05
-0.00304345,0.072520825,0.417611438,-3.49E-05
-0.003053975,0.064815358,0.381167704,4.43E-05
-0.0030699,0.072685354,0.184479266,5.85E-05
-0.003088613,0.111342669,0.384755226,2.20E-05
-0.003098182,0.072526257,0.16396811,9.51E-05
-0.003113667,0.072528477,0.381084404,4.17E-05
-0.00312722,0.003253169,0.431138857,-3.76E-05
-0.003154289,0.111330875,0.395767865,-5.13E-06
-0.003176954,0.103566106,0.40268289,-1.44E-05
-0.003199153,0.01039296,0.431502122,-4.79E-05
-0.003204165,0.12696337,0.17561847,6.64E-05
-0.003206042,0.056990849,0.424769987,-4.17E-05
-0.003236851,0.080480627,0.184324119,5.42E-05
-0.003257036,0.080307227,0.380921804,3.93E-05
-0.003266203,0.018167579,0.431682771,-4.75E-05
-0.00327358,0.1113822,0.170191921,8.00E-05
-0.003292618,0.119245708,0.389747332,9.54E-06
-0.003294183,0.080286468,0.417641405,-3.39E-05
-0.003320052,0.09580903,0.410104261,-2.39E-05
-0.003333876,0.08030905,0.163984683,9.50E-05
-0.003360555,0.025936705,0.431807334,-4.86E-05
-0.003373627,0.127039897,0.180334096,6.11E-05
-0.003396514,0.088256654,0.184205217,5.15E-05
-0.003407806,0.064756786,0.424788435,-4.10E-05
-0.003466589,0.033693357,0.431886952,-4.86E-05
-0.003493125,0.119469339,0.384825944,2.17E-05
-0.003523377,0.111335941,0.402727924,-1.34E-05
-0.003525566,0.096002339,0.184162051,5.09E-05
-0.003525856,0.119146216,0.395782454,-4.50E-06
-0.003556701,0.041452546,0.431697859,-4.75E-05
-0.003562813,0.088048545,0.417639012,-3.27E-05
-0.003579118,0.134707388,0.175757903,6.53E-05
-0.003594349,0.088080031,0.163958911,9.46E-05
-0.003606321,0.087844796,0.380852569,3.82E-05
-0.003635183,0.119166313,0.170157829,7.62E-05
-0.003638984,0.072522923,0.424895835,-4.06E-05
-0.003646713,0.103570347,0.410114429,-2.31E-05
-0.00365132,0.002152898,0.186577991,2.38E-06
-0.003681386,0.049225407,0.431514562,-4.61E-05
-0.003690051,0.103755471,0.184184306,4.83E-05
-0.003696384,0.00325722,0.157130427,7.97E-05
-0.00370434,0.010395876,0.157139303,9.68E-05
-0.0037148,0.12706403,0.389858736,9.53E-06
-0.00376196,0.134782628,0.180461879,5.99E-05
-0.003764817,0.018162588,0.157175591,9.78E-05
-0.003846445,0.025937772,0.157187439,9.84E-05
-0.003852421,0.056996616,0.431506178,-4.57E-05
