X,Y,Z,Cp,Normal
-0.19558,0.66375,0.62441,-0.165723,-0.752945
-0.188796,0.22125,0.735174,-0.11582,-0.796391
-0.183171,0.75225,0.402666,-0.159433,-0.885876
-0.182122,0.75225,0.294805,-0.17306,-0.889308
-0.181167,0.48675,0.622441,-0.119775,-0.874002
-0.179527,0.13275,0.738156,-0.111352,-0.820079
-0.173328,0.04425,0.737837,-0.108415,-0.823783
-0.15762,0.39825,0.624468,-0.121656,-0.899352
-0.153399,0.66375,0.51694,-0.151404,-0.853398
-0.149461,0.57525,0.629541,-0.147238,-0.89176
-0.145855,0.39825,0.525375,-0.117379,-0.974527
-0.142017,0.30975,0.628451,-0.112979,-0.919365
-0.137249,0.66375,0.29469,-0.161618,-0.88082
-0.136348,0.66375,0.402228,-0.147412,-0.87299
-0.129129,0.22125,0.628723,-0.1051,-0.926455
-0.12854,0.30975,0.526815,-0.117541,-0.985951
-0.120008,0.13275,0.628433,-0.100726,-0.936776
-0.116435,0.22125,0.524917,-0.113094,-0.99144
-0.115302,0.04425,0.628848,-0.098422,-0.939747
-0.109674,0.57525,0.516787,-0.142983,-0.896418
-0.107848,0.13275,0.527334,-0.109445,-0.996274
-0.103525,0.04425,0.526745,-0.10792,-0.997031
-0.095137,0.57525,0.294801,-0.147887,-0.917056
-0.093565,0.57525,0.402136,-0.142394,-0.916974
-0.078641,0.48675,0.515399,-0.148765,-0.932499
-0.062487,0.48675,0.294859,-0.142605,-0.946561
-0.060953,0.48675,0.401951,-0.14131,-0.952411
-0.057879,0.30975,0.289492,-0.13052,-0.995558
-0.054906,0.22125,0.292361,-0.130046,-0.996261
-0.05313,0.13275,0.292424,-0.128948,-0.996493
-0.052427,0.04425,0.292347,-0.127196,-0.996599
-0.038738,0.39825,0.294848,-0.136381,-0.972991
-0.037724,0.39825,0.401992,-0.135528,-0.974763
-0.021136,0.30975,0.401996,-0.127633,-0.986378
-0.010028,0.22125,0.402103,-0.122375,-0.993313
-0.003228,0.13275,0.402219,-0.120666,-0.996935
0,0.04425,0.402242,-0.11835,-0.998451
