X,Y,Z,Cp,Normal
-0.196905,0.66375,0.624031,-0.156806,-0.754991
-0.192542,0.22125,0.738032,-0.079434,-0.800687
-0.184588,0.75225,0.401901,-0.148487,-0.890112
-0.183635,0.75225,0.294691,-0.189582,-0.89272
-0.182827,0.48675,0.622769,-0.085421,-0.869177
-0.180638,0.13275,0.737452,-0.075302,-0.805694
-0.173606,0.04425,0.736087,-0.072194,-0.819651
-0.158855,0.39825,0.624332,-0.088127,-0.889773
-0.154643,0.66375,0.516947,-0.176648,-0.84621
-0.151069,0.57525,0.630932,-0.1325,-0.887009
-0.147159,0.39825,0.528646,-0.086153,-0.974181
-0.141584,0.30975,0.624455,-0.080707,-0.909762
-0.138666,0.66375,0.294676,-0.134453,-0.878427
-0.137793,0.66375,0.40208,-0.138135,-0.870557
-0.129855,0.30975,0.528714,-0.088785,-0.987234
-0.128664,0.22125,0.624707,-0.07544,-0.934206
-0.121927,0.13275,0.628857,-0.07389,-0.92185
-0.117526,0.22125,0.528624,-0.087285,-0.991772
-0.116967,0.04425,0.629025,-0.071721,-0.939977
-0.111066,0.57525,0.516854,-0.136225,-0.900417
-0.109404,0.13275,0.527429,-0.085778,-0.996088
-0.105157,0.04425,0.526073,-0.083923,-0.997358
-0.096416,0.57525,0.294785,-0.129808,-0.917842
-0.094905,0.57525,0.402357,-0.136227,-0.922377
-0.080192,0.48675,0.515525,-0.137785,-0.933818
-0.063954,0.48675,0.294855,-0.129633,-0.949994
-0.062475,0.48675,0.402073,-0.129906,-0.953128
-0.059538,0.30975,0.291055,-0.111791,-0.995571
-0.056436,0.22125,0.292361,-0.112157,-0.996257
-0.054653,0.13275,0.29236,-0.110921,-0.996496
-0.053953,0.04425,0.292308,-0.106694,-0.9966
-0.040247,0.39825,0.29484,-0.121243,-0.972173
-0.03924,0.39825,0.40197,-0.118521,-0.974326
-0.022648,0.30975,0.401957,-0.10717,-0.985965
-0.011564,0.22125,0.402178,-0.101151,-0.993272
-0.004761,0.13275,0.402264,-0.099803,-0.996779
-0.00153,0.04425,0.402215,-0.092443,-0.998425
