H1,H2,H3,H4,H5,H6,R1,R2,R3,R4,R5,R6
2.03067,0,2.01105,-0.488809835,0.013232022,-0.003718157,-0.1696605,0.009748,-0.1059635,-0.021376665,0.003377443,0.004424153
3.95343,0,3.91419,-0.007166882,0.772600088,-0.00723873,-0.2946635,-0.0029805,-0.0981385,0.002577735,0.054206435,-0.001017074
7.87743,0,7.83819,-0.014351726,1.517735217,-0.014423574,-0.5977625,-0.0035855,-0.2086875,0.004149415,0.105761603,0.000826736
11.83086,0,11.88972,-0.021770077,2.303585573,-0.021662305,-0.9001045,0.0029035,-0.3619625,0.002002822,0.152754842,0.002213144
15.70581,0,15.73524,-0.028811224,3.048091489,-0.028757338,-1.2003635,-0.0012285,-0.4640345,0.005708656,0.206548592,0.00298293
19.62981,0,19.63962,-0.035960144,3.804108949,-0.035942182,-1.4949185,-0.0023545,-0.5886285,0.004806883,0.256311724,0.005157889
23.62248,0,23.52438,-0.04307314,4.555327651,-0.043252761,-1.7863335,-0.0039365,-0.6923035,7.51E-03,0.309965093,0.00781662
27.47781,0,27.45819,-0.050275946,5.318154919,-0.05031187,-2.0712455,-0.0045965,-0.8210615,0.007354229,0.360139029,0.010496614
31.40181,0,31.42143,-0.057532638,6.086238679,-0.057496714,-2.3607255,-0.0059295,-0.9339045,0.012820316,0.41511196,0.013333342
29.43,0,29.44962,-0.053922254,5.7043188,-0.05388633,-2.2171305,-0.0092715,-0.8949335,0.012078826,0.387958397,0.011823439
25.52562,0,25.57467,-0.046827221,4.954112588,-0.04673741,-1.9357655,-0.0100565,-0.7809505,0.006744507,0.335793882,0.010242142
21.69972,0,21.72915,-0.039786074,4.209051917,-0.039732187,-1.6565605,-0.0083455,-0.6541205,0.006292677,0.284916,0.007044829
17.66781,0,17.658,-0.032331798,3.420067069,-0.03234976,-1.3692795,-0.0059315,-0.5269445,0.005708693,0.230619514,0.006057539
13.74381,0,13.77324,-0.025218802,2.668071709,-0.025164916,-1.0679255,-0.0027125,-0.4138035,0.003966375,0.179582431,0.005323534
9.81,0,9.79038,-0.017926186,1.8960768,-0.01796211,-0.7663675,0.0006385,-0.3068405,0.001256302,0.125426314,0.004249913
5.87619,0,5.89581,-0.010795228,1.142181341,-0.010759304,-0.4631125,0.0011435,-0.1688905,0.002824058,0.077377672,0.00348243
2.02086,0,1.962,-0.003592422,0.379354073,-0.003700195,-0.1701265,0.0026225,-0.0299695,0.004152982,0.030106488,0.002514928
1.95219,0,0,0,-0.014719513,0.20149378,-0.145365,-0.0003505,0.0042175,-0.000103701,0.007570796,-0.011346407
3.928905,0,0,0,-0.029623944,0.400392055,-0.306631,0.0054225,0.0377405,0.001682796,0.018617669,-0.02356608
5.920335,0,0,0,-0.044639326,0.606915187,-0.463292,0.0046735,0.0602775,0.002817118,0.028480734,-0.035839906
7.862715,0,0,0,-0.059284871,0.800265009,-0.59492,0.0082165,0.0775945,0.001136924,0.034056349,-0.046347424
9.81,0,0,0,-0.0739674,1.00227789,-0.730863,0.0123375,0.1063685,0.002419035,0.044630135,-0.055300591
11.796525,0,0,0,-0.088945799,1.207279643,-0.864504,0.0161845,0.1179245,0.001311787,0.052131389,-0.064851325
13.734,0,0,0,-0.10355436,1.402168806,-0.993228,0.0214175,0.1510925,0.00347593,0.063150805,-0.073729606
15.696,0,0,0,-0.11834784,1.604664864,-1.127906,0.0241165,0.1721105,0.003842733,0.072537621,-0.083297297
14.719905,0,0,0,-0.110988084,1.501877494,-1.059611,0.0210825,0.1578705,0.002850573,0.066751597,-0.07912742
12.757905,0,0,0,-0.096194604,1.305502876,-0.930648,0.0146345,0.1230025,0.000376457,0.055094443,-0.069595514
10.864575,0,0,0,-0.081918896,1.111043003,-0.800832,0.0095165,0.1066985,0.000665955,0.046706253,-0.061106078
8.829,0,0,0,-0.06657066,0.903070341,-0.659349,0.0071725,0.0710775,-0.002042617,0.034660416,-0.051975892
6.867,0,0,0,-0.05177718,0.702614763,-0.528778,0.0038995,0.0800565,0.001826075,0.030499425,-0.041414784
4.91481,0,0,0,-0.037057667,0.500100743,-0.37984,0.0020915,0.0558545,0.000923997,0.020961229,-0.030448792
2.943,0,0,0,-0.02219022,0.299663127,-0.22827,-0.0002885,0.0293175,-0.00026023,0.010962968,-0.018918034
0.981,0,0,0,-0.00739674,0.100227789,-0.078707,-0.0041195,-0.0045065,-0.002427748,-0.00014749,-0.007228807
0,3.924,3.93381,0.04122162,-0.007202806,-0.007184844,-0.011753,0.287724,-0.206959,-0.02180817,-0.009967813,-0.002280677
0,7.848,7.848,0.08209008,-0.014369688,-0.014369688,-0.015694,0.581004,-0.439053,-0.043076383,-0.020842873,-0.002761447
0,11.78181,11.79162,0.123414313,-0.021590456,-0.021572494,-0.017264,0.877266,-0.691671,-0.06725641,-0.034982285,-0.003132605
0,15.77448,15.78429,0.165177641,-0.028901035,-0.028883073,-0.018811,1.178782,-0.930402,-0.097937889,-0.04533265,-0.003469172
0,19.62,19.63962,0.20557836,-0.035960144,-0.03592422,-0.017066,1.468119,-1.176191,-0.118279252,-0.060593377,-0.005090865
0,23.55381,23.55381,0.246372853,-0.043127026,-0.043127026,-0.016916,1.766974,-1.415492,-0.141907747,-0.071578258,-0.006006335
0,27.51705,27.52686,0.288004923,-0.050401681,-0.050383719,-0.017672,2.064828,-1.650164,-0.156325225,-0.079732066,-0.007304766
0,31.50972,31.50972,0.329591671,-0.057694297,-0.057694297,-0.02055,2.370679,-1.893235,-0.179577424,-0.088923077,-0.007486994
0,29.43981,29.43981,0.307940413,-0.053904292,-0.053904292,-0.020265,2.215615,-1.768918,-0.169290763,-0.08252344,-0.006947851
0,25.63353,25.63353,0.268126724,-0.046934993,-0.046934993,-0.018571,1.930627,-1.539703,-0.153533826,-0.071777761,-0.005977668
0,21.65067,21.66048,0.226642588,-0.039660339,-0.039642377,-0.017402,1.629677,-1.301849,-0.12540782,-0.059125535,-0.00507778
0,17.658,17.68743,0.18523242,-0.032385684,-0.032331798,-0.015101,1.331314,-1.085903,-0.110490251,-0.058245933,-0.003847754
0,13.734,13.734,0.14365764,-0.025146954,-0.025146954,-0.013455,1.034521,-0.828226,-0.083334008,-0.040990346,-0.003131453
0,9.81981,9.82962,0.102891793,-0.017998034,-0.017980072,-0.011151,0.7402,-0.579344,-0.056031605,-0.026615012,-0.002372864
0,5.93505,5.93505,0.062080623,-0.010867077,-0.010867077,-0.006474,0.451232,-0.353731,-0.035056132,-0.017224949,-0.001520891
0,1.962,1.962,0.02052252,-0.003592422,-0.003592422,-0.002047,0.152686,-0.105363,-0.01100283,-0.003783217,-0.000547619
0,3.924,3.924,-0.983362248,0.070632,-0.007184844,-0.0121525,0.3161995,-0.2036,-0.062103245,-0.006411695,0.002992063
0,7.85781,7.85781,-1.969182902,0.14144058,-0.01438765,0.0151605,0.6139875,-0.463867,-0.13157376,-0.021228184,-0.000287029
0,11.81124,11.8701,-2.974226996,0.2136618,-0.02162638,0.0201795,0.9132185,-0.706627,-0.199591107,-0.032761358,-0.001093223
0,15.7941,15.696,-3.934188666,0.282528,-0.028918997,0.0175565,1.2244595,-0.944619,-0.265462259,-0.045127982,0.000285858
0,19.62981,19.62,-4.916885207,0.35316,-0.035942182,0.0332755,1.5018415,-1.174478,-0.330840914,-0.054602437,-0.003857612
