"Pnx","X (m)","Y (m)","Z (m)"
1.94045483150124,7.64103886883585,0.001,1.32450569565127
1.96426134378103,7.62539614374925,0.001,1.32574805454442
2.02895179629126,7.76587257253223,0.001,1.31407840969095
2.05140975154985,7.75034300904546,0.001,1.31546423194367
2.08001909423774,7.73471612711699,0.001,1.31685873866857
2.06078349901025,7.71905397024343,0.001,1.31824321251373
1.90171630228703,7.70345022198629,0.001,1.31954741004768
1.89209107363542,7.68784734601117,0.001,1.32078812549827
1.90350490976485,7.67224452028607,0.001,1.32202731554927
1.91996450562798,7.65664169456096,0.001,1.32326650560027
2.0066282129699,7.60974153455851,0.001,1.3269913572835
1.80794869885943,7.59415989515471,0.001,1.32816360948067
1.72493360041534,7.57861481311874,0.001,1.3292424495541
1.72927010060731,7.56305983334129,0.001,1.33029680476252
1.7406490470181,7.54750117739422,0.001,1.33135140915087
1.75629445195844,7.53187451797251,0.001,1.33241062298382
1.51755236505479,7.39143961313165,0.001,1.34082877904009
1.53536006785254,7.37583734700975,0.001,1.34167079409647
1.77574457751281,7.51622797970035,0.001,1.33347118425469
1.80207644025817,7.50062739046244,0.001,1.33452863098576
1.8377081430599,7.48502680122454,0.001,1.33558607771682
1.63410730378303,7.46942708832128,0.001,1.33657785362179
1.48267126974987,7.45382899704749,0.001,1.33746178092555
1.48333565016922,7.43823165106853,0.001,1.33830353045418
1.49115827427563,7.42263430508957,0.001,1.33914527998282
1.50291957042457,7.40703695911061,0.001,1.33998702951146
-14.4911814933893,6.29677949371416,0.001,1.27107827930384
-14.7472049284474,6.29318752362833,0.001,1.26994860810467
-14.881433936277,6.28930347515522,0.001,1.26871217374082
-14.9621062116393,6.28690985069996,0.001,1.26794708769494
1.56016701317325,7.36019991915462,0.001,1.34251470674314
1.52190778947724,7.34458597771594,0.001,1.34334739783812
1.1714959819918,7.32902116238001,0.001,1.34405588751334
1.11853479994187,7.31344737259316,0.001,1.34464860097746
1.12469695552314,7.29786906399014,0.001,1.34523689155962
1.13380982367648,7.28229029735075,0.001,1.34582519943882
-6.03195682225801,6.55050133183011,0.001,1.32471319868201
-7.11337474074598,6.53497689168635,0.001,1.32260972135188
-5.83699923139727,6.56611815682102,0.001,1.32665690269689
-15.0437298899898,6.28501213224652,0.001,1.26733708629381
-9.00388739789116,6.45759072739282,0.001,1.30997147487373
-11.2895774247614,6.38391192480942,0.001,1.29467195815349
-11.8928551714362,6.37615278516893,0.001,1.2928395616885
-12.0609272913105,6.36074209066647,0.001,1.28903280407783
-14.3323847048636,6.29868366031818,0.001,1.27166994558267
1.14551130816994,7.26671086801644,0.001,1.34641353234366
1.15963534077218,7.25113069082072,0.001,1.34700189349032
1.17825657369289,7.23554966534274,0.001,1.34759028667104
1.20109843590426,7.21993272787623,0.001,1.34818003601212
1.03591385665284,7.20431057857765,0.001,1.3487282765963
0.631391252719502,7.18872087362328,0.001,1.34912847954891
0.603824531480116,7.17313352117344,0.001,1.34942142796678
0.607310169716076,7.15754632569181,0.001,1.34971231160868
0.612630351575455,7.14195913021018,0.001,1.35000319525058
0.619606629916978,7.12637193472856,0.001,1.35029407889248
0.628338129246132,7.11078473924693,0.001,1.35058496253438
0.639487580523865,7.0951975437653,0.001,1.35087584617629
0.655085604231602,7.07961034828367,0.001,1.35116672981819
0.198659945658216,7.06402510661548,0.001,1.35135944267196
-0.132086711505994,7.04844352491586,0.001,1.3513775920064
-0.131915499110169,7.03286364937138,0.001,1.35131934860966
-2.65710699225921,6.72152771109372,0.001,1.34189096582732
-3.42391350154986,6.70591681463646,0.001,1.3408478983967
-4.13884551155812,6.69036670517661,0.001,1.33955815707427
-4.04544872327563,6.67481867877076,0.001,1.3381356902132
-4.05831843061454,6.65927061868136,0.001,1.33671545119495
-0.13273218294678,7.01728377382689,0.001,1.35126110521291
-0.13404616377572,7.00170389828241,0.001,1.35120286181617
-0.135825352941879,6.98612402273793,0.001,1.35114461841942
-0.138324935604956,6.97054414719345,0.001,1.35108637502268
-0.141593742737015,6.95496427164897,0.001,1.35102813162594
-0.347400699279269,6.93938534564559,0.001,1.35093264907372
-1.13566863429457,6.92381106844348,0.001,1.35063584956517
-1.14783881675581,6.90824049409157,0.001,1.35017355409222
-1.15172811767893,6.89266992332971,0.001,1.34970984045573
-1.1618167407661,6.87709935256785,0.001,1.34924612681925
-1.17715163761423,6.86152878180599,0.001,1.34878241318276
-1.20031443948946,6.84593352569248,0.001,1.34831796438156
-1.23583919737869,6.83034168887378,0.001,1.3478536174118
-1.7823767325394,6.81476636189825,0.001,1.34729570305222
-2.49948740945665,6.79921055733163,0.001,1.34650817579298
-2.48136152406273,6.78368691119403,0.001,1.34558550190652
-7.54996262081081,6.51946220573484,0.001,1.32026857048955
-7.54526780626345,6.50383803352527,0.001,1.31784271963526
-7.93058980477411,6.48832624149742,0.001,1.31540530252599
-8.9467643306208,6.47308415148089,0.001,1.31280224240002
-4.1207566320817,6.64372255859197,0.001,1.3352952121767
-4.25378999784533,6.62817449850257,0.001,1.33387497315846
-5.18818966177766,6.61255376302933,0.001,1.33231460977751
-5.92549277835136,6.59702511041189,0.001,1.33050595171425
-5.80336238431091,6.58165621415124,0.001,1.32859080311735
-15.5819748957315,6.28152257255279,0.001,1.26619761956745
-11.1912519600482,6.39167420794461,0.001,1.29644786892114
-9.49325902584914,6.44195109957178,0.001,1.3070423368714
-12.0050706573573,6.36844676243833,0.001,1.29094566735899
-12.6520423244542,6.35298912786425,0.001,1.28705556503528
-12.7128250742512,6.34523946266882,0.001,1.28501389429795
-13.2964553924636,6.3298522685521,0.001,1.28082706226923
-14.3642433989568,6.30087030699225,0.001,1.27234133175751
-2.49224328189796,6.76816509072338,0.001,1.34466293653163
-2.52021303665322,6.75264404787988,0.001,1.3437404173763
-2.56916088705543,6.73712300874945,0.001,1.34281789844167
-15.6516845860997,6.27887999866094,0.001,1.2653246916781
-11.1848615796021,6.39939377872263,0.001,1.29821118432362
-10.149243813271,6.42646610010033,0.001,1.30395493673127
-12.9792472336346,6.33754923614916,0.001,1.282948630839
-13.5195969908756,6.3221004231786,0.001,1.27863324827412
-14.078950908282,6.30668134691055,0.001,1.27410211699452
-13.8454293740692,6.31439278298415,0.001,1.27639526221989
-15.9451775644223,6.27688976374625,0.001,1.26466271759778
-10.4100890327946,6.41097204348855,0.001,1.30071855440858
-16.2350991177457,6.27424174515692,0.001,1.26378004035659
-16.6742114866403,6.27222435005117,0.001,1.26310279954266
-17.7480028194962,6.26973776179858,0.001,1.26225154551157
-17.6773212279028,6.2677135356314,0.001,1.26155624391171
-19.5197000559225,6.26597236581853,0.001,1.26095797342568
-29.1108028682673,6.26342148683127,0.001,1.26008146823624
3.91885069300322,6.26168006207377,0.001,1.2585679411328
-8.70094185701761,6.25839293887614,0.001,1.25661081618819
-10.2034139944223,6.25346684178754,0.001,1.255039569653
-12.4233681905967,6.24930798567003,0.001,1.25359321336538
-12.8048011500871,6.24566193010844,0.001,1.25222700084328
-12.9054814518885,6.24215344006132,0.001,1.25089657324149
0.362841942900151,5.77432306473072,0.001,1.0237170012326
-12.9752419685891,6.2394613546129,0.001,1.24987227901919
-0.193669493285039,5.78864068479822,0.001,1.03190452834381
-0.424514070141874,5.79610383052446,0.001,1.03617232618175
-12.9616146115783,6.23768940330323,0.001,1.24919597227438
-0.912740594269391,5.80547471300949,0.001,1.0415310627623
-13.0107873912148,6.23504214850895,0.001,1.2481815270429
-1.5981820404817,5.81701341657496,0.001,1.04809782900682
-1.84753139752044,5.82479856911911,0.001,1.05242367519284
-12.9791042189247,6.23140291317209,0.001,1.24678391301761
-2.11199223695537,5.83725583109236,0.001,1.05927612486249
-13.039076143211,6.22758218911846,0.001,1.2453058202031
-2.65109441909081,5.85282507784436,0.001,1.06783964052676
-12.951332504545,6.22371170291917,0.001,1.24379886554569
-3.36382985095338,5.86820052188942,0.001,1.07629655935029
-12.9035465738152,6.21991776553847,0.001,1.24231878645983
-4.02637928145091,5.88376799765628,0.001,1.08473948961637
-12.9140557689944,6.21609673367448,0.001,1.24081734610851
-4.36427760746522,5.89898836718092,0.001,1.09281594834972
-12.7811443757548,6.21221495569638,0.001,1.23928326842649
-4.78896381097923,5.91455300606797,0.001,1.10101549808849
-12.701122783327,6.20637827990758,0.001,1.23696440206539
-5.44737089872223,5.92969255930114,0.001,1.10899111002905
-12.5430023307341,6.19861346778951,0.001,1.23385587329458
-6.06348396402457,5.94525537296535,0.001,1.11707501636005
-12.4037678886898,6.19060957490253,0.001,1.23061825701688
-6.46095815516371,5.96067136214051,0.001,1.12491747255956
-12.214574528597,6.18284289108977,0.001,1.22744886418104
-6.87617411251102,5.97623063151784,0.001,1.13274881434945
-12.083794461454,6.17522649122734,0.001,1.22431139361677
-7.46894691092238,5.99172805725142,0.001,1.14054814167752
-8.05471693359706,5.99935252356623,0.001,1.14438482560562
-11.9344717476589,6.16751032642356,0.001,1.22110458769799
-7.98596084026803,6.00798347447583,0.001,1.14857199332996
-11.7937383484562,6.15978449758602,0.001,1.2178621939862
-8.18283201596169,6.02313850294762,0.001,1.15588099239535
-11.5983967844688,6.1519967276858,0.001,1.21456330254345
-8.75780961029232,6.03869311791269,0.001,1.16336133267362
-11.4142224158131,6.14422807107697,0.001,1.21124626032241
-9.22531053908071,6.0546540778263,0.001,1.17094433641228
-11.2480509168648,6.13586860868248,0.001,1.20763826128921
-9.5094390927616,6.0702055079944,0.001,1.17817281991197
-11.0198627325738,6.12809767131029,0.001,1.20426552934831
-10.3814827000228,6.10160627772155,0.001,1.19252688870305
-10.0613857908181,6.08605768014505,0.001,1.18547919798111
-10.7525952859333,6.11699851552984,0.001,1.19937136367093
0.477401425346896,8.14178430942793,0.001,1.27788724211878
0.635075333779019,8.12594256800742,0.001,1.27848959908875
1.13838290371809,8.11010110015061,0.001,1.27945424117005
1.17710649166823,8.09424052291627,0.001,1.28069334146856
1.78828550041768,8.07850621281585,0.001,1.28220346846514
1.91575703038664,8.06290638837942,0.001,1.2839717183276
1.9921513654374,8.04717106262226,0.001,1.28575227683074
1.99956198441101,7.79586838349881,0.001,1.31140165304154
2.0134863276105,7.78145509439382,0.001,1.31268786155561
1.99504994183783,8.03141145764997,0.001,1.28750561977846
1.99665756186181,7.80367100857027,0.001,1.31070536486429
2.09343420146386,8.00010191331681,0.001,1.29093470574399
2.04184509884304,8.01575668548339,0.001,1.28922016276123
2.0453242439612,7.81268311835871,0.001,1.30988587269153
2.1188780891898,7.98445099684598,0.001,1.29263957190109
2.15262679255927,7.8282902673149,0.001,1.30841424479608
2.0630767809184,7.96874614379671,0.001,1.29430823471351
2.11800373138586,7.84389895473191,0.001,1.30689414228187
2.0877584725651,7.95306918304982,0.001,1.29594144447524
2.08962605331962,7.85950764214892,0.001,1.30537403976766
2.11511963257604,7.93751876623823,0.001,1.297561471019
2.06993792684739,7.87511632956593,0.001,1.30385393725345
2.15376454858228,7.9220049045526,0.001,1.29917768516436
2.05712838089598,7.89072501698293,0.001,1.30233383473924
2.11913701482887,7.90638759114242,0.001,1.30077989893156
-2.33712976508832,4.87189843026597,0.001,0.738077492367336
-2.09295245623258,4.88174159858642,0.001,0.741604165166421
-1.91871172273165,4.89776349958461,0.001,0.747382951670929
-1.85410659657626,4.91336626771135,0.001,0.753135904871377
-1.89160640270675,4.92874017995007,0.001,0.758897412324792
-1.94438343450414,4.94426797789509,0.001,0.764770588234985
-6.71567682612933,5.04862722751199,0.001,0.804450337986292
-6.04381184329885,5.04097079723069,0.001,0.801865736361354
-2.4009562098335,4.95984447771769,0.001,0.77090297196222
-1.67050877201823,5.13114638600347,0.001,0.820063657737954
-2.09623076140122,5.11500373146905,0.001,0.8179084348516
-1.9968496670757,5.11884206660123,0.001,0.818430937788329
-2.24738552031958,5.11120626362456,0.001,0.817384443972357
-6.9735965833949,5.05619410061687,0.001,0.806799938005308
-5.82048347701861,5.03337825616426,0.001,0.79930171021995
-5.78672179524551,5.02573167333254,0.001,0.796638501896796
-3.31147614715412,4.97580153065144,0.001,0.777373494670304
-1.58758112119441,5.13368264779328,0.001,0.820390924364671
-1.86792430484938,5.12268653525512,0.001,0.81894848444034
-1.77310334304596,5.12645560486929,0.001,0.819448601303736
-1.68916015512712,5.12936106787976,0.001,0.819830703220038
-2.39888059265836,5.107375068039,0.001,0.816842748779405
-5.92031821341286,5.06373123044398,0.001,0.808803778439174
-5.6820564230633,5.07132678879699,0.001,0.810700506886599
-5.31333499916186,5.01797236833557,0.001,0.793772659830873
-4.04514777061405,4.99104495386833,0.001,0.783454705387461
-1.47911206946141,5.13728778866196,0.001,0.820848037951427
-2.52565972126351,5.10353197608811,0.001,0.816293380486654
-5.27756268268335,5.0789074897424,0.001,0.812418033909772
-4.58814652903896,5.00613231022633,0.001,0.789271458637603
-0.877367576273714,5.17337491431918,0.001,0.825033723761094
-0.945579248544742,5.17642050081596,0.001,0.825681211945098
-1.41524490362962,5.14076151531606,0.001,0.821279797892588
-0.650582831138518,5.16907577467645,0.001,0.824097934240181
-0.53238584902137,5.16629825570971,0.001,0.823481334301515
-2.63150727887216,5.09971749436473,0.001,0.815747903165839
-3.75869839056279,5.08646541226932,0.001,0.813760933338269
-1.00594348157342,5.17855262926187,0.001,0.826125825432119
-1.34070985421537,5.14419120909594,0.001,0.82170209418331
0.293364506139665,5.15534187067695,0.001,0.821643468170086
-0.271096513315266,5.16232607188021,0.001,0.822576902220138
-0.333072054885303,5.1641220503414,0.001,0.822986896078965
12.3514055298571,5.15228764369652,0.001,0.822164283025475
-1.44240334099496,5.14764878012391,0.001,0.822115139484626
-2.95893264773843,5.09401718951557,0.001,0.814903149324336
-1.0419647698977,5.18175856141059,0.001,0.826778463678151
-0.33248259004006,5.15995600931485,0.001,0.822018731045939
-0.906659098496897,5.15052700645806,0.001,0.822433832767413
-2.77845279088285,5.39590060731291,0.001,0.797005098459429
-1.09348778579466,5.18995082456475,0.001,0.828392420205764
-1.09604865197203,5.18588319639057,0.001,0.827600870747969
-2.77268480906084,5.4000790231449,0.001,0.795903742603352
-9.52527346947175,5.39421527945919,0.001,0.798783005624663
-1.11334106234025,5.19380970389738,0.001,0.829125459454253
5.66434851007335,5.40448001862455,0.001,0.795653520885255
-9.54638807804942,5.39208349858968,0.001,0.802628629350223
-1.08055545992799,5.19763125504793,0.001,0.829834569880599
5.66115169804604,5.40737424841892,0.001,0.797422430017351
-9.5530603558182,5.39053339535606,0.001,0.805425045522739
-1.06521478701544,5.20147110921331,0.001,0.830528116041942
5.65872500375874,5.40965956429829,0.001,0.798821377975226
-9.56772553901462,5.38935943344005,0.001,0.807542928601755
-1.06214831257948,5.20534799040023,0.001,0.83122404746929
5.63785121077778,5.41227478505277,0.001,0.800423302714824
5.62308016493889,5.41494088434518,0.001,0.802056447028476
-9.57646850981891,5.3883044689794,0.001,0.809446134857898
-0.993720646353407,5.20919727760299,0.001,0.831891599468914
5.5990788968188,5.4168980546302,0.001,0.803255265333147
-9.5821220879297,5.38717694892626,0.001,0.811480235302626
-0.951782091256952,5.21305275495675,0.001,0.832536317550898
